,text,No_of_tags,Tag,Month,No_of_ans,vote_ans,qual_ans,has_accepted_ans,has_code_col,question_text_len,user_reputation,No_of_votes,quality,predicted_classlabel
1197, i am using a library that contains an abstract generic parsable class:         by subclassing this class allows users to create instances of types from strings. i find myself having to parse lists of objects. for instance there could exist a   and i want to implement an  . this can be done pretty straightforwardly:         this can be done successfully for every type of parser. there is nothing special about an integer in this example. after writing several of these identical classes i decided it was time to create a generic to do this:         unfortunately this doesn't work because the command   doesn't compile. is there any way to get around this or am i forced to create a new copy of this code for every type of parser?    the solutions that i tried that didn't work are:      making parse static. this would prevent having to create instances of the   but it doesn't work because you can't make abstract static functions.   have   extend   instead of  . this would allow its   function to call  's parse function because it is its own super. this doesn't work because the return type of parse is   and you can't cast   to  .    ,2,generics,11,2,3 2,100 75,1,1,1143,607,0,95,1
1198, in java  what is the difference between:         and       ,2,generics,11,2,0 0,100 91,1,1,60,16,1,0,0
1199, i'm using the factory pattern to create instances  and want to initialise these instances with different objects. at the moment i'm simply casting the object  but this doesn't feel right.         usage would then be as follows:           and   aren't related at the moment - no common base class or interfaces.    in the factory method  the compiler of course shows an 'unchecked cast from...' warning.    is there a better way? it seems like a situation where generics could be used  but is this unfeasible due to the objects not being related?  ,3,generics,11,2,2 0,61 89,1,1,548,1051,0,0,0
1200, the  type erasure page  says that         replace all type parameters in generic types with their bounds or object if the type parameters are unbounded. the produced bytecode  therefore  contains only ordinary classes  interfaces  and methods.      however  for the following class:           prints:         why is the type parameter not replaced with the bound (charsequence)  but is preserved as e?  ,2,generics,11,3,6 2 0,80 80 76,0,1,404,295167,6,81,1
1201, a raw list converts to   just fine. why can't a list of raw lists convert to a list of  ?          (backstory  to mitigate  the xy problem :  an api i'm using returns  . i happen to know that it is always  . i plan to loop and build my own    but i was trying to fix (but not suppress) the raw type compiler warning when i write  . i tried:         but these give the type mismatch error.    interestingly  this gives no warning or error:          )   ,2,generics,11,3,7 0 0,100 0 90,0,1,453,847,14,85,1
1202, i am trying to subtract the value from a provided array (2d array). i would like to do by using generics. can anyone help what is wrong with my code. i mean do i need to extend some class? i am getting the error (the operator - is undefined for the argument type(s) t  t)    thanks in advance.       ,2,generics,11,3,1 0 0,0 92 80,0,1,301,21,2,0,0
1203, i have a class   which defines the following         since this returns an array of type    i would think that if i declared this instance:    that the following would be perfectly valid:  . i think this because since   is of type      should return an array of type    since   has basically been substituted in for every   in this class (only for this particular instantiation  i know). the only way this runs without errors is if i do this:  .    why is this?  ,4,generics,11,2,2 1,71 100,1,1,464,29,3,100,1
1204," below is the first java generics i've ever written :         the result is  \""exception outside casttoanothertype()\"" . why did the exception not occur inside the generic method?  ",3,generics,11,4,14 4 3 3,92 75 0 93,1,1,181,103,13,71,1
1205, in the following  i get a runtime exception on line 5  not on line 4. what is that cast actually doing? any insight or links to relevant reading would be awesome.       ,3,generics,11,2,3 2,85 86,1,1,170,33,0,0,0
1206, i have the following inteface:         and a class implementing that inteface:         }    so the usage of the above would be:         is there a way to to make the interface evaluator implicitly return the generic type defined in the class implementing it? so that the usage would simply be:         or is there a cleaner way to go about it?  ,2,generics,10,2,0 0,83 82,0,1,346,26,4,0,0
1207,"   update   based on inputs below.  now and again i feel efforts for type-safe use of java interfaces less than straightforward.    here's a simple example of what we'd like to do: a design  following.  when it comes to implementation after several attempts to get type safety  i'm ( again ) discovering that we need to  think in java  to encourage  java to support our needs.  i'm made improvements on the original example.  i'm leaving the question open because there's probably a better way to go about things.     intention :      think of some different classes we want to put in a hash.   we want to manages these as a collection of   serviceprovider   interface instances.   the idea is to make an oo design like this:      service type:         provider type:         implementation:            the challenge comes when we want to 'register' an implementation.  this is a method prototype for the   desired   method:           the service implemented by newprovider is given by: newprovider.getserviceinterface()       and we'd like to call this kind of methods as follows:          thanks to suggestions below  the schema to ask for the a registered provider is to specify the interface as so:            of course  you can't do that  !   the only alternative that compiles is to use the \""  .class  \"" to register and look-up the provider instance object.  along with requisite changes to the tidy definitions above ...         which looks a lot more type-safe.    the get provider call as suggested by @immibis ...         sadly that solution won't allow the hashmap to ' find ' the provider when it comes time to look it up.  it looks like the hash map will use the \""class\"" which doesn't identify the implementation class.  i have tried a few variations like:         and using the interfacetype from above.  my understanding of what's happening is that this is challenging because there's only single inheritance.    is not:    where:         at the moment i'm left with using:    as the consistent key.  of course since we are devolved to just \""class\"" as a type it kind of voids type safety.  there's some protection by wrapping the   in a method.    continuing to working on extracting type-protection from relevant looking examples:       type-safe hetrogenous container pattern     enforcing parameter types on dependent interfaces?     in java hashmap  how to enforce a generic type to be a subclass       neither look like what we are looking for ( yet ). is this or something close possible?  i'm looking for ideas on how-to-do it?  many thanks for your time.  ",4,generics,10,3,1 1 0,0 75 78,0,1,2585,642,0,28,0
